1,Cat,Birman
1,Cat,Korat
1,Cat,Ocicat
2,Dog,Akbash Dog
2,Dog,German Spitz
3,Dog,Scottish Terrier
3,Dog,Welsh Terrier
4,Dog,Poodle
5,Dog,Cane Corso
6,Cat,LaPerm
6,Cat,Munchkin
6,Cat,Oriental
7,Dog,Alapaha Blue Blood Bulldog
7,Dog,Basset Hound
8,Cat,Burmilla
9,Cat,Pixiebob
10,Cat,Birman
10,Cat,Norwegian Forest Cat
11,Cat,Unknown
12,Cat,Scottish Fold
13,Dog,Labradoodle
14,Dog,Havanese
15,Dog,Greater Swiss Mountain Dog
16,Cat,Balinese
16,Cat,Siberian
17,Cat,Turkish Van
18,Dog,Small Munsterlander Pointer
19,Dog,Bull Terrier
19,Dog,Rhodesian Ridgeback
20,Cat,Balinese
20,Cat,Birman
20,Cat,Bombay
21,Dog,Puli
21,Dog,Scottish Deerhound
22,Cat,Balinese
23,Cat,Himalayan
23,Cat,Korat
24,Dog,Bracco Italiano
25,Cat,Cymric
26,Dog,Cavalier King Charles Spaniel
26,Dog,Kerry Blue Terrier
27,Cat,Burmese
27,Cat,Devon Rex
28,Dog,Afghan Hound
29,Cat,Devon Rex
29,Cat,Havana Brown
30,Dog,Beauceron
30,Dog,Bichon Frise
30,Dog,Greater Swiss Mountain Dog
31,Dog,Pomsky
31,Dog,Rat Terrier
31,Dog,Soft Coated Wheaten Terrier
32,Cat,Singapura
33,Cat,Bombay
34,Dog,Basenji
34,Dog,Labradoodle
35,Cat,Somali
36,Dog,Vizsla
37,Dog,Giant Schnauzer
37,Dog,Great Dane
37,Dog,Sealyham Terrier
38,Cat,Russian Blue
39,Cat,British Shorthair
39,Cat,Burmilla
39,Cat,Maine Coon
40,Cat,Russian Blue
41,Dog,Lowchen
42,Cat,Unknown
43,Cat,LaPerm
44,Dog,Border Terrier
44,Dog,Brussels Griffon
45,Cat,Munchkin
46,Dog,American Pit Bull Terrier
46,Dog,Rottweiler
47,Dog,Akbash Dog
48,Dog,Border Terrier
48,Dog,Cardigan Welsh Corgi
48,Dog,Redbone Coonhound
48,Dog,Whippet
49,Cat,American Curl
49,Cat,Egyptian Mau
49,Cat,Somali
50,Cat,Burmilla
50,Cat,Scottish Fold
51,Cat,Chartreux
51,Cat,Singapura
52,Cat,Chartreux
52,Cat,Oriental
53,Cat,Javanese
54,Dog,Sussex Spaniel
55,Dog,Cockapoo
56,Dog,Silken Windhound
56,Dog,Silky Terrier
57,Dog,Goldendoodle
57,Dog,Puli
58,Cat,Ragamuffin
59,Cat,Bengal
60,Dog,Mudi
60,Dog,Norfolk Terrier
60,Dog,Poodle
61,Dog,Swedish Vallhund
62,Dog,Irish Setter
62,Dog,Irish Terrier
63,Dog,Afghan Hound
64,Dog,Belgian Sheepdog
65,Cat,Ocicat
66,Cat,Cymric
67,Cat,Korat
68,Cat,Turkish Angora
69,Cat,Javanese
70,Cat,Burmilla
71,Cat,Oriental
72,Dog,Black Russian Terrier
73,Dog,Yorkshire Terrier
74,Cat,Abyssinian
74,Cat,Pixiebob
75,Dog,Spanish Greyhound
76,Cat,LaPerm
77,Dog,Welsh Terrier
78,Cat,Turkish Van
79,Cat,Li Hua
80,Cat,Maine Coon
81,Dog,Chihuahua
82,Dog,Thai Ridgeback
82,Dog,Wirehaired Vizsla
83,Cat,Kurilian Bobtail
84,Cat,Tonkinese
85,Cat,Abyssinian
86,Dog,Chinese Shar-Pei
86,Dog,Miniature Schnauzer
87,Dog,Bernese Mountain Dog
88,Cat,British Shorthair
89,Cat,Russian Blue
89,Cat,Turkish Van
90,Cat,Korat
91,Cat,American Wirehair
91,Cat,LaPerm
92,Cat,Oriental
93,Cat,American Bobtail
93,Cat,Ocicat
94,Dog,Tibetan Terrier
95,Cat,Savannah
96,Cat,Maine Coon
97,Dog,Alaskan Husky
97,Dog,Cesky Terrier
97,Dog,Pyrenean Shepherd
98,Dog,Australian Shepherd
98,Dog,Newfoundland
98,Dog,Pekeapoo
98,Dog,Puli
99,Cat,Bengal
100,Cat,British Shorthair
100,Cat,Egyptian Mau
100,Cat,Selkirk Rex
101,Cat,Balinese
102,Cat,Abyssinian
103,Cat,American Curl
103,Cat,British Shorthair
103,Cat,Oriental
103,Cat,Siberian
104,Cat,Ragdoll
105,Cat,Turkish Van
106,Cat,Bombay
107,Cat,Havana Brown
108,Dog,Rottweiler
109,Cat,Havana Brown
110,Cat,Li Hua
110,Cat,Persian
111,Cat,American Wirehair
111,Cat,Cymric
112,Cat,Russian Blue
113,Cat,Birman
113,Cat,Munchkin
113,Cat,Tonkinese
114,Dog,Sloughi
115,Cat,Unknown
116,Dog,Belgian Tervuren
117,Cat,Himalayan
117,Cat,Oriental
118,Cat,Burmilla
118,Cat,Kurilian Bobtail
119,Dog,Basador
119,Dog,Bulldog
120,Cat,Himalayan
121,Cat,Himalayan
122,Cat,Burmese
122,Cat,Savannah
123,Dog,Chinese Crested
123,Dog,Lowchen
124,Cat,Oriental
124,Cat,Ragdoll
124,Cat,Somali
125,Cat,Kurilian Bobtail
126,Cat,Himalayan
126,Cat,Korat
127,Dog,Cardigan Welsh Corgi
127,Dog,Puggle
128,Cat,Mixed
129,Cat,American Curl
130,Dog,Black and Tan Coonhound
131,Dog,Mastiff
131,Dog,Perro de Presa Canario
132,Dog,Cavalier King Charles Spaniel
